Benchmark,Memory access (instructions), TLB misses (instructions), page table access (instructions), memory access (data), TLB misses (data), page table access (data)
bzip2,819,33,99,644253,102337,307011
cactusADM,347,6,18,2881064,79869,239607
gemsFDTD,773,23,69,8785391,750802,2252406
gobmk,4158,141,423,200648,146537,439611
gromacs,2354,61,183,196398,8118,24354
h264,4934,87,261,71166,24787,74361
hmmer,140,15,45,132597,506,1518
lbm,40,3,9,15185501,470104,1410312
milc,296,23,69,22877684,2384010,7152030
tonto,4809,118,354,16312,392,1176
