Benchmark,Memory access (instructions), TLB misses (instructions), page table access (instructions), memory access (data), TLB misses (data), page table access (data)
bzip2,3086,87,261,82642275,105113092,315339276
cactusADM,533447,215,645,5332604359,150183470,450550410
gemsFDTD,1416790,269,807,26931057504,5789255449,17367766347
gobmk,705152,254,762,60295231,41631473,124894419
gromacs,2553760,217,651,226867107,17387008,52161024
h264,6879490,197,591,28335245,31194072,93582216
hmmer,455578,162,486,56079242,21925367,65776101
lbm,1582,162,486,56079242,21925367,65776101
milc,5927,130,390,21401513579,2026607352,6079822056
tonto,46852797,662,1986,145780769,58840927,176522781
**toy**,3647,193,579,66610866,2163420,6490260
