Benchmark,Memory access (instructions), TLB misses (instructions), page table access (instructions), memory access (data), TLB misses (data), page table access (data)
bzip2,3086,3,9,82652014,102299632,306898896
cactusADM,?,?,?,?,?,?
gemsFDTD,1416806,6,18,26944511944,4780809,14342427
gobmk,1285,4,12,585271,4669,14007
gromacs,?,?,?,?,?,?
h264,282639,4,12,21889867,26066977,78200931
hmmer,145399,4,12,217580665,19381388,58144164
lbm,1582,4,12,19815145756,154930018,464790054
milc,1013,4,12,2582,91,273
tonto,?,?,?,?,?,?
**toy**,3647,10,30,37698898,466297,1398891
